 NP
  0.000000000000000E+000  !scissors operator
5.6091
     3.3231136     0.0000000     0.0000000
     0.0000000     4.3489554     0.0000000
     0.0000000     0.0000000    10.5137048
 written on 19Apr2023 at 22:44:49 
          32
          81
    4    2    2    2    2    2    2    2    4    2    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    2    2    1    1
    1    1    1    1    1    2    2    1    1    1    1    1    1    1    2
    2    1    1    1    1    1    1    1    2    2    1    1    1    1    1
    1    1    2    2    1    1    1    1    1    1    1    2    4    2    2
    2    2    2    2    2    4
   -4   -4    0   24    5    0.000210   -0.000088
   -4   -4    0   25    5   -0.000566   -0.000018
   -4   -4    0   26    5    0.000378    0.000002
   -4   -4    0   27    5    0.000204    0.000009
   -4   -4    0   28    5   -0.000636    0.000061
   -4   -4    0   29    5   -0.000732    0.000176
   -4   -4    0   30    5    0.000785   -0.000116
   -4   -4    0   31    5    0.000645    0.000085
   -4   -4    0   32    5    0.000957   -0.000481
   -4   -4    0    1    6    0.000668    0.000093
   -4   -4    0    2    6   -0.000129    0.000094
   -4   -4    0    3    6    0.000179   -0.000300
   -4   -4    0    4    6    0.000607   -0.000129
   -4   -4    0    5    6   -0.000192    0.000161
   -4   -4    0    6    6   -0.000097   -0.000000
   -4   -4    0    7    6   -0.000186    0.000164
   -4   -4    0    8    6   -0.000251   -0.001182
   -4   -4    0    9    6    0.000402    0.000369
   -4   -4    0   10    6    0.000124    0.001009
   -4   -4    0   11    6   -0.000341    0.000141
   -4   -4    0   12    6   -0.000213   -0.001412
   -4   -4    0   13    6   -0.000009    0.000060
   -4   -4    0   14    6    0.000217    0.000429
   -4   -4    0   15    6    0.000005   -0.000055
   -4   -4    0   16    6   -0.000095   -0.000526
   -4   -4    0   17    6    0.000248    0.000083
   -4   -4    0   18    6   -0.000220   -0.001230
   -4   -4    0   19    6   -0.000243   -0.000074
   -4   -4    0   20    6    0.000468   -0.001273
   -4   -4    0   21    6   -0.000774   -0.000261
   -4   -4    0   22    6   -0.000392   -0.000496
   -4   -4    0   23    6    0.000222   -0.000072
   -4   -4    0   24    6   -0.000137   -0.000204
   -4   -4    0   25    6    0.000367    0.000009
   -4   -4    0   26    6    0.000758    0.000019
   -4   -4    0   27    6    0.000379   -0.000008
   -4   -4    0   28    6    0.000177   -0.000140
   -4   -4    0   29    6    0.000364    0.000206
   -4   -4    0   30    6    0.000495   -0.000067
   -4   -4    0   31    6    0.000567    0.000051
   -4   -4    0   32    6   -0.000015   -0.001158
   -4   -4    0    1    7    0.000389   -0.000253
   -4   -4    0    2    7    0.000181    0.000357
   -4   -4    0    3    7   -0.001349    0.000016
